ID	char	pua	romanized	symbol
SD-A655	各	U+104655	laḥ	
SD-A656	向	U+104656	va	
SD-A657	名	U+104657	vā	
SD-A658	合	U+104658	vi	
SD-A659	吃	U+104659	vī	
SD-A65A	后	U+10465A	vu	
SD-A65C	吒	U+10465C	ve	
SD-A65D	因	U+10465D	vai	
SD-A65E	回	U+10465E	vo	
SD-A660	圳	U+104660	vaṃ	
SD-A661	地	U+104661	vaḥ	
SD-A662	在	U+104662	śa	
SD-A663	圭	U+104663	śā	
SD-A664	圬	U+104664	śi	
SD-A665	圯	U+104665	śī	
SD-A666	圩	U+104666	śu	
SD-A667	夙	U+104667	śū	
SD-A668	多	U+104668	śe	
SD-A669	夷	U+104669	śai	
SD-A66A	夸	U+10466A	śo	
SD-A66B	妄	U+10466B	śau	
SD-A66C	奸	U+10466C	śaṃ	
SD-A66D	妃	U+10466D	śaḥ	
SD-A66E	好	U+10466E	ṣa	
SD-A66F	她	U+10466F	ṣā	
SD-A670	如	U+104670	ṣi	
SD-A671	妁	U+104671	ṣī	
SD-A674	宇	U+104674	ṣe	
SD-A675	守	U+104675	ṣai	
SD-A676	宅	U+104676	ṣo	
SD-A678	寺	U+104678	ṣaṃ	
SD-A679	尖	U+104679	ṣaḥ	
SD-A67A	屹	U+10467A	sa	
SD-A67B	州	U+10467B	sā	
SD-A67C	帆	U+10467C	si	
SD-A67D	并	U+10467D	sī	
SD-A67E	年	U+10467E	su	
SD-A6A2	弛	U+1046A2	se	
SD-A6A3	忙	U+1046A3	sai	
SD-A6A4	忖	U+1046A4	so	
SD-A6A5	戎	U+1046A5	sau	
SD-A6A6	戌	U+1046A6	saṃ	
SD-A6A7	戍	U+1046A7	saḥ	
SD-A6A8	成	U+1046A8	ha	
SD-A6A9	扣	U+1046A9	hā	
SD-A6AA	扛	U+1046AA	hi	
SD-A6AB	托	U+1046AB	hī	
SD-A6AE	旨	U+1046AE	he	
SD-A6AF	旬	U+1046AF	hai	
SD-A6B0	旭	U+1046B0	ho	
SD-A6B1	曲	U+1046B1	hau	
SD-A6B2	曳	U+1046B2	haṃ	
SD-A6B3	有	U+1046B3	haḥ	
SD-A6B4	朽	U+1046B4	kṣa	
SD-A6B5	朴	U+1046B5	kṣā	
SD-A6B6	朱	U+1046B6	kṣi	
SD-A6B7	朵	U+1046B7	kṣī	
SD-A6B8	次	U+1046B8	kṣu	
