ID	unicode	uni_char	norm_unicode	norm_uni_char	composition	norm_big5_char	moe_variant_id
CB15935	44B6	䒶			[卄/曳]	天	a00849-006
CB15936					[卄/些]		
CB15937					[口*注]		
CB15938	210E9	𡃩			[口*褱]		c01522
CB15939					[土*焦]		
CB15940	58B6	墶			[土*達]		
CB15941	5CFA	峺			[山*更]		c02777
CB15942			21F1D	𡼝	[山*賁]	墳	a00814-013
CB15943					[午/止]		
CB15944	2325E	𣉞			[日*高]	暠	b01573-002
CB15945					[月*王]	飪	a04584-005
CB15946	23662	𣙢			[木*圈]		
CB15947					[木*頭]		
CB15948	4CB4	䲴			[火*鳥]	鴆	a04721-002
CB15949	403F	䀿			[目*折]		c08358-002,c08335
CB15950	7776	睶			[目*春]		c08400
CB15951	250FA	𥃺			[目/兀]		c08251,b03138-002
CB15952					[石*肴]		
CB15953	7934	礴			[石*薄]	礡	b03027-001
CB15954	40BF	䂿			[石*沓]		c08788
CB15955	41CC	䇌			[立*肖]		c09432
CB15956					[舟*丘]		
CB15957	45B1	䖱			[虫*匡]		c12258
CB15958					[沙/鬼]		c17124-001
CB15959					[汾*欠]		
CB15960					[身*赤]		
CB15961					[車*麃]		
CB15962	22F5F	𢽟			[來*ㄆ]		b01471-005,c04580-000
CB15963					[侖*皮]		
CB15964	92D4	鋔			[金*免]		c14951-002
CB15965					[金*得]		
CB15966	29191	𩆑			[雨/酸]		c15679
CB15967	99BF	馿			[馬*戶]	驢	a04654-003
CB15968					[翟*元]		
CB15969					[毆/鳥]		
CB15970	4E3F	丿			[厂-一]		c00020
CB15971	211D2	𡇒			[囗@米]		c01574,c01571-001
CB15972	8C83	貃			[豸*白]	貊	a03922-001
CB15973					[餤-火]		
CB15974	4FB0	侰			[仁-二+君]		c00284-001,c00153
CB15975					[仁-二+董]		
CB15976	639A	掚			[打-丁+兩]		c04260
CB15977	22CEF	𢳯			[打-丁+敕]		a01734-041
CB15978					[打-丁+簇]		
CB15979					[冰-水+能]		
CB15980					[旭-日+咸]		
CB15981	5C32	尲			[尬-介+兼]	尷	a01075-003
CB15982					[序-予+氣]		
CB15983			7ADC	竜	[奄-大+立]	龍	
CB15984	22629	𢘩			[怡-台+孕]		
CB15985			23CBD	𣲽	[沱-匕+几]		b02045-001,c06096-001
CB15986					[竺-二+早]		
CB15987					[俟-ㄙ+亡]		
CB15988					[烈-列+夥]		
CB15989					[袖-由+感]		
CB15990	5E50	幐			[勝-力+巾]		N00187
CB15991	3C9D	㲝			[毯-炎+隹]		b01994-010,c17514-002,c05995
CB15992					[毯-炎+畏]		
CB15993					[跳-兆+爰]		
CB15994	2810D	𨄍			[跳-兆+崔]		c14055
CB15995	6FB7	澷			[漫-又+方]	漫	a02317-002
CB15996	9A63	驣			[騰-月+馬]	騰	a04643-004
CB15997					[柟-土+二]	柟	b01654-001
CB15998	22B1F	𢬟			[捅-用+丑]	搊	b01379-005
CB16000					[甐-瓦+皮]		
CB16001					[(舉-與)/石]		
CB16002					[○@(：/．)]		
CB16003					[女*(口/口)*辛]		
CB16004					[穴/(畚-田+丰)]		
CB16005	22795	𢞕			[怡-台+(確-石)]		c03832
CB16006	24148	𤅈			[泳-永+(虀-卄)]		
CB16007					[奐-(色-巴)+├]		
CB16008					[恪-口+(彰-章)]		
CB16009					[皴-皮+(巢-果)]		
CB16010	26C49	𦱉			[萸-人+(乳-孚)]	龍	a04806-006
CB16011			5700	圀	[囗@(企-止+方)]	國	
CB16012	6A71	橱			[木*(厂@(豆*寸))]	櫥	a02044-001
CB16013	22BF1	𢯱			[打-丁+(容-口+又)]	搜	a01643-005
CB16014			979E	鞞	[鞥-合+(白-日+田)]	鞞	
